epoch,training_loss,validation_loss
1,0.5052928924560547,0.5127570629119873
2,0.46481624245643616,0.47142815589904785
3,0.4525422155857086,0.46066784858703613
4,0.4446185827255249,0.4527660012245178
5,0.4411751925945282,0.4513813853263855
6,0.4362448751926422,0.4466138482093811
7,0.4346005320549011,0.4457781910896301
8,0.43278035521507263,0.4450801610946655
9,0.42886343598365784,0.4408090114593506
10,0.42830103635787964,0.44081351161003113
11,0.4262196123600006,0.44030192494392395
12,0.42537543177604675,0.4399992823600769
13,0.4231329560279846,0.4390764832496643
14,0.4216403067111969,0.43685755133628845
15,0.4220829904079437,0.4404274821281433
16,0.4211333096027374,0.43793830275535583
17,0.41880083084106445,0.4365881383419037
18,0.4189206659793854,0.43765002489089966
19,0.41694024205207825,0.43643346428871155
20,0.4158429801464081,0.4370909035205841
21,0.4155247211456299,0.43792033195495605
22,0.4150819778442383,0.4387586712837219
23,0.4143614172935486,0.438139945268631
24,0.41592442989349365,0.43971073627471924
25,0.41478094458580017,0.4396166503429413
26,0.41266292333602905,0.4373175799846649
27,0.4109204113483429,0.4381924569606781
28,0.41170716285705566,0.43972164392471313
29,0.4104476273059845,0.43804991245269775
30,0.4112950265407562,0.43834739923477173
31,0.4096910357475281,0.43803805112838745
32,0.41117388010025024,0.44188714027404785
33,0.40874066948890686,0.43960312008857727
34,0.40869948267936707,0.4405568540096283
35,0.4093843698501587,0.44068363308906555
36,0.4087476432323456,0.4415566027164459
37,0.40707629919052124,0.43913403153419495
38,0.4065012037754059,0.4407358765602112
39,0.4071074426174164,0.44111454486846924
40,0.4055514931678772,0.44206225872039795
41,0.40415894985198975,0.4411817193031311
42,0.403476357460022,0.43993183970451355
43,0.40642616152763367,0.44419005513191223
44,0.4052695631980896,0.44310814142227173
45,0.40389660000801086,0.44335100054740906
46,0.4059463143348694,0.44528475403785706
47,0.4042492210865021,0.4457608163356781
48,0.4047386944293976,0.4460839331150055
49,0.40034931898117065,0.4414464831352234
50,0.4022305905818939,0.4467504918575287
51,0.40149348974227905,0.44548746943473816
52,0.4004834294319153,0.4437659978866577
53,0.4003215432167053,0.4435945153236389
54,0.3995561897754669,0.4442339241504669
55,0.3997728228569031,0.4461352229118347
56,0.4006374478340149,0.4460901618003845
57,0.39697980880737305,0.4430672526359558
58,0.39759036898612976,0.44505563378334045
59,0.3966444730758667,0.4435974955558777
60,0.39899903535842896,0.4440748989582062

