epoch,training_loss,validation_loss
1,0.509402334690094,0.5169519186019897
2,0.471281498670578,0.47775983810424805
3,0.4559463560581207,0.46377336978912354
4,0.44922178983688354,0.4570080041885376
5,0.4448551535606384,0.45394039154052734
6,0.4415968358516693,0.4508829712867737
7,0.439191073179245,0.44878917932510376
8,0.43795013427734375,0.4474852979183197
9,0.4352192282676697,0.4445177912712097
10,0.4345606565475464,0.4435340464115143
11,0.4323844313621521,0.4417101740837097
12,0.4317784607410431,0.4413541555404663
13,0.4308432936668396,0.44110092520713806
14,0.4309236705303192,0.43976932764053345
15,0.4294147193431854,0.4402143955230713
16,0.42822718620300293,0.4382134974002838
17,0.4273929297924042,0.4374290406703949
18,0.42759907245635986,0.43743792176246643
19,0.42648884654045105,0.4381503760814667
20,0.4261929392814636,0.43803369998931885
21,0.42633453011512756,0.43719491362571716
22,0.4250425696372986,0.43629735708236694
23,0.4259501099586487,0.436228483915329
24,0.42530620098114014,0.43707695603370667
25,0.4240586459636688,0.43566077947616577
26,0.4244595766067505,0.4358513653278351
27,0.42283499240875244,0.4355495870113373
28,0.42263397574424744,0.4367087483406067
29,0.4217320680618286,0.4350351095199585
30,0.4223655164241791,0.43514469265937805
31,0.42168474197387695,0.4351483881473541
32,0.4212574362754822,0.43462321162223816
33,0.42120301723480225,0.4343665838241577
34,0.4207328259944916,0.43413135409355164
35,0.42114174365997314,0.4340391457080841
36,0.4207771420478821,0.43422001600265503
37,0.4200417697429657,0.4327676594257355
38,0.419712632894516,0.43356263637542725
39,0.4199153780937195,0.43347054719924927
40,0.41967540979385376,0.4337354600429535
41,0.41994422674179077,0.43340006470680237
42,0.41876715421676636,0.4332239627838135
43,0.41912728548049927,0.43403735756874084
44,0.4185087978839874,0.4330895245075226
45,0.41846776008605957,0.43524616956710815
46,0.41763776540756226,0.43358486890792847
47,0.4175797998905182,0.43308061361312866
48,0.4185413122177124,0.43356427550315857
49,0.4175422489643097,0.4330157935619354
50,0.4173600375652313,0.43450552225112915
51,0.4170021712779999,0.4333106279373169
52,0.4172821044921875,0.4323883354663849
53,0.41708481311798096,0.4334874749183655
54,0.4163145124912262,0.4323903024196625
55,0.4167659878730774,0.4330166280269623
56,0.4163912832736969,0.43411487340927124
57,0.41587188839912415,0.432971715927124
58,0.4163278043270111,0.43334734439849854
59,0.4165419638156891,0.43335631489753723
60,0.4156510829925537,0.4330802857875824

